ID_src,ID_dst,dist
AZ0039,AZ0033,15.968319670328798
AZ0033,AZ0088,4.909750667428551
AZ0092,AZ0033,10.934133075020714
AZ0034,AZ0036,11.900144517486622
AZ0036,AZ0034,11.900144517486622
AZ0038,AZ0034,9.45426715942577
AZ0034,AZ0123,6.610757019294555
AZ0035,AZ0036,14.46248078256818
AZ0036,AZ0035,14.46248078256818
AZ0038,AZ0035,15.902147864900543
AZ0039,AZ0035,17.90793578878529
AZ0035,AZ0123,19.32468756092364
AZ0036,AZ0038,11.329146408784275
AZ0123,AZ0036,5.815399165640055
AZ0123,AZ0038,10.40230288530885
AZ0039,AZ0088,14.3116832291164
AZ0039,AZ0092,17.400302885951557
AZ0050,AZ0133,13.431373813564766
AZ0135,AZ0050,0.4596164915013549
AZ0179,AZ0064,15.172376350363667
AZ0064,AZ0184,15.958846778933674
AZ0184,AZ0064,15.958846778933674
AZ0067,AZ0154,8.891437677727975
AZ0067,AZ0158,6.570350197795398
AZ0180,AZ0067,5.160777288196231
AZ0082,AZ0122,17.790325474719154
AZ0092,AZ0088,6.377087087063193
AZ0102,AZ0124,1.057446666412377
AZ0126,AZ0102,8.793905023738187
AZ0107,AZ0160,0.4724859459242841
AZ0160,AZ0107,0.4724859459242841
AZ0114,AZ0113,9.49336964552131
AZ0126,AZ0124,7.758479383851504
AZ0136,AZ0125,12.969158160873636
AZ0133,AZ0135,13.144145472114635
AZ0138,AZ0182,6.730536638741149
AZ0150,AZ0147,5.050936408728334
AZ0152,AZ0147,5.823930782302911
AZ0150,AZ0152,8.465564400077824
AZ0154,AZ0158,13.16122252541242
AZ0154,AZ0180,12.564484948737679
AZ0158,AZ0180,1.6673575068213005
AZ0180,AZ0158,1.6673575068213005
AZ0161,AZ0162,12.552502653709391
AZ0165,UT0031,11.480293192461644
AZ0174,UT0031,11.573934872047335
UT0031,AZ0174,11.573934872047335
AZ0184,AZ0179,4.939195776750148
CA0001,CA0044,16.52415017759347
CA0044,CA0001,16.52415017759347
CA0206,CA0001,14.323155282018448
CA0002,CA0011,11.519895689831124
CA0002,CA0044,17.61290622677245
CA0002,CA0081,4.243726033757111
CA0081,CA0002,4.243726033757111
CA0002,CA0114,15.351322601866078
CA0117,CA0002,8.854774792232215
CA0005,CA0003,10.825642589068517
CA0003,CA0008,9.570100749081195
CA0003,CA0015,19.3924357543388
CA0003,CA0027,10.649286405349809
CA0027,CA0003,10.649286405349809
CA0003,CA0034,17.1932924570937
CA0003,CA0042,13.026124634512293
CA0062,CA0003,18.51891896201831
CA0003,CA0063,12.66633256899474
CA0063,CA0003,12.66633256899474
CA0003,CA0072,13.13902883483966
CA0072,CA0003,13.13902883483966
CA0003,CA0075,3.735481237702134
CA0003,CA0094,6.530105249740476
CA0094,CA0003,6.530105249740476
CA0119,CA0003,3.1953983553252114
CA0128,CA0003,16.725944211801256
CA0003,CA0134,9.7285654504354
CA0003,CA0138,3.5950846886921672
CA0003,CA0154,15.615696311876746
CA0003,CA0161,17.76611163673269
CA0003,CA0162,13.664048803650001
CA0005,CA0008,11.754723248312681
CA0015,CA0005,15.575373097866073
CA0042,CA0005,11.810788356530077
CA0005,CA0063,18.851478862097135
CA0063,CA0005,18.851478862097135
CA0005,CA0072,13.337228507627808
CA0075,CA0005,14.55507897149149
CA0094,CA0005,4.509328505866249
CA0119,CA0005,8.149080320720595
CA0134,CA0005,7.612944070489419
CA0005,CA0138,8.620066549711678
CA0138,CA0005,8.620066549711678
CA0014,CA0007,8.394802045888223
CA0022,CA0007,13.942181959018974
CA0041,CA0007,4.4126151553751605
CA0046,CA0007,16.546913917856177
CA0084,CA0007,13.70756750352475
CA0007,CA0085,8.075989498719371
CA0096,CA0007,6.922169625980463
CA0123,CA0007,10.158017934181006
CA0007,CA0128,19.868346062147683
CA0128,CA0007,19.868346062147683
CA0154,CA0007,19.13645675506455
CA0007,CA0158,11.541050872217548
CA0008,CA0010,11.746282205473499
CA0008,CA0027,18.354257183628707
CA0030,CA0008,14.08705371549366
CA0008,CA0043,15.382743051874854
CA0008,CA0072,3.6251582502886404
CA0008,CA0075,11.588079243405954
CA0094,CA0008,10.550638846101085
CA0119,CA0008,7.502637955232334
CA0134,CA0008,4.509477366513819
CA0008,CA0138,11.523463663987286
CA0008,CA0154,17.20947894079968
CA0154,CA0008,17.20947894079968
CA0161,CA0008,9.473737884908841
CA0009,CA0057,19.326434920350607
CA0030,CA0010,5.406879551955549
CA0043,CA0010,3.6376242967841046
CA0072,CA0010,8.983659110207565
CA0098,CA0010,16.848059864693084
CA0119,CA0010,19.225125484949746
CA0134,CA0010,14.745495380388794
CA0010,CA0161,4.286856849223109
CA0011,CA0028,18.944195253301217
CA0011,CA0081,7.474759106405043
CA0102,CA0011,9.969483402392045
CA0011,CA0114,16.363447386229463
CA0117,CA0011,18.755239779801045
CA0011,CA0132,19.31700228279687
CA0132,CA0011,19.31700228279687
CA0197,CA0011,16.968552426578334
CA0015,CA0012,14.989615805145023
CA0012,CA0037,16.67071656677491
CA0037,CA0012,16.67071656677491
CA0012,CA0042,15.638010658598182
CA0042,CA0012,15.638010658598182
CA0049,CA0012,12.990598010462584
CA0012,CA0063,13.631697389328611
CA0063,CA0012,13.631697389328611
CA0130,CA0012,10.560859775383854
CA0012,CA0162,17.355579741867935
CA0162,CA0012,17.355579741867935
CA0013,CA0048,14.890691688395105
CA0014,CA0022,5.629326119930626
CA0014,CA0034,15.156029646880675
CA0014,CA0041,7.599258405292233
CA0046,CA0014,16.17590865608146
CA0061,CA0014,19.25221993445904
CA0062,CA0014,16.847261351396952
CA0014,CA0085,16.044450779932188
CA0014,CA0096,13.880470223105968
CA0123,CA0014,16.492257636096475
CA0128,CA0014,13.138592577942777
CA0014,CA0154,14.444429644812676
CA0014,CA0158,18.391217694748224
CA0014,CA0166,15.945332701140105
CA0015,CA0042,6.52464327138052
CA0042,CA0015,6.52464327138052
CA0015,CA0063,15.547140654386524
CA0015,CA0094,15.377651103349134
CA0094,CA0015,15.377651103349134
CA0015,CA0119,19.182233338760028
CA0138,CA0015,15.853467943615804
CA0016,CA0031,18.466934598908864
CA0016,CA0101,15.043169975774967
CA0101,CA0016,15.043169975774967
CA0111,CA0016,7.748408083323703
CA0120,CA0016,7.726388472733088
CA0121,CA0016,2.6920271744714834
CA0139,CA0016,11.236404342664386
CA0019,CA0047,14.874893905721736
CA0047,CA0019,14.874893905721736
CA0020,CA0038,17.835169228274726
CA0082,CA0020,14.408460859534934
CA0021,CA0073,19.453261272447644
CA0074,CA0021,6.374259095521236
CA0021,CA0088,9.221115630319416
CA0022,CA0027,17.115502873313638
CA0027,CA0022,17.115502873313638
CA0034,CA0022,9.974960211729387
CA0022,CA0041,12.280119523510557
CA0041,CA0022,12.280119523510557
CA0022,CA0046,19.247029072710138
CA0022,CA0061,16.279529933922554
CA0062,CA0022,11.322973584155244
CA0022,CA0096,18.763286923343593
CA0096,CA0022,18.763286923343593
CA0128,CA0022,9.031597190563105
CA0022,CA0154,12.25260522100142
CA0022,CA0166,12.516541792565931
CA0166,CA0022,12.516541792565931
CA0078,CA0023,3.888326372337412
CA0113,CA0023,11.612893073921901
CA0023,CA0160,10.4484656430974
CA0025,CA0103,10.97425191449775
CA0109,CA0025,5.120976857169448
CA0025,CA0110,4.93097297620851
CA0110,CA0025,4.93097297620851
CA0165,CA0025,12.82962153926026
CA0199,CA0025,11.620097994658867
CA0025,CA0200,19.648217007472947
CA0200,CA0025,19.648217007472947
CA0027,CA0034,7.344065915934222
CA0034,CA0027,7.344065915934222
CA0027,CA0042,18.34514018050275
CA0049,CA0027,18.883731736707706
CA0062,CA0027,7.968894493700329
CA0027,CA0063,10.58298392121237
CA0075,CA0027,7.1499854578305975
CA0027,CA0094,16.637136311866186
CA0119,CA0027,13.8221520530247
CA0027,CA0128,8.976325344253953
CA0128,CA0027,8.976325344253953
CA0027,CA0134,19.98114494759744
CA0027,CA0138,12.61725294774274
CA0154,CA0027,11.58195824392686
CA0162,CA0027,6.7972155927754345
CA0028,CA0163,15.21819114429636
CA0163,CA0028,15.21819114429636
CA0199,CA0029,19.87360445771247
CA0030,CA0043,5.629751130845684
CA0043,CA0030,5.629751130845684
CA0072,CA0030,12.433088954456545
CA0030,CA0098,13.251961536026327
CA0030,CA0134,17.99483348110397
CA0030,CA0154,18.500910398629305
CA0154,CA0030,18.500910398629305
CA0161,CA0030,4.63089322303749
CA0111,CA0031,10.826646958008011
CA0031,CA0114,10.244834808176702
CA0031,CA0132,17.18914542972559
CA0031,CA0139,7.255571080412319
CA0031,CA0197,19.23263350586547
CA0034,CA0041,19.836376354709422
CA0034,CA0061,19.80574606724442
CA0061,CA0034,19.80574606724442
CA0034,CA0062,3.1072370669518006
CA0063,CA0034,16.96661089793241
CA0034,CA0075,13.46222275924057
CA0075,CA0034,13.46222275924057
CA0128,CA0034,4.3086639566326905
CA0034,CA0138,19.67939113475771
CA0154,CA0034,9.634149398408898
CA0034,CA0162,11.871997349579436
CA0162,CA0034,11.871997349579436
CA0034,CA0166,16.11490836452325
CA0166,CA0034,16.11490836452325
CA0037,CA0049,7.006638710851939
CA0049,CA0037,7.006638710851939
CA0037,CA0092,17.57721252021055
CA0100,CA0037,9.138896122844992
CA0037,CA0130,12.651402308314458
CA0146,CA0037,11.732286312727332
CA0162,CA0037,19.41758994314274
CA0041,CA0046,19.999305693467765
CA0041,CA0084,18.02943851281167
CA0085,CA0041,11.864797165138533
CA0041,CA0096,6.48367594862014
CA0041,CA0123,14.528795862454077
CA0041,CA0128,16.47875620861262
CA0128,CA0041,16.47875620861262
CA0041,CA0154,15.047771182259389
CA0158,CA0041,10.835243890680768
CA0042,CA0063,10.449814083774205
CA0075,CA0042,15.129664136443743
CA0042,CA0094,10.050632772684384
CA0094,CA0042,10.050632772684384
CA0119,CA0042,13.229829151192359
CA0042,CA0134,17.751739676119282
CA0042,CA0138,9.583802503920463
CA0042,CA0162,15.6695767309388
CA0043,CA0072,12.569536867187205
CA0043,CA0098,13.942760262363214
CA0043,CA0134,18.307694102351583
CA0043,CA0161,7.179751260333293
CA0161,CA0043,7.179751260333293
CA0044,CA0117,8.828689096147487
CA0117,CA0044,8.828689096147487
CA0044,CA0206,17.89424199631857
CA0046,CA0061,19.045797432968886
