Library ID,Submission Year,Library Name,Street Address,City,State,Longitude,Latitude
NY0373,2015,PLAINVIEW-OLD BETHPAGE PUBLIC LIBRARY,999 OLD COUNTRY ROAD,PLAINVIEW,NY,-73.473546,40.775495
NY0374,2015,PORT WASHINGTON PUBLIC LIBRARY,1 LIBRARY DRIVE,PORT WASHINGTON,NY,-73.6962803,40.83141989999999
NY0375,2015,ROCKVILLE CENTRE PUBLIC LIBRARY,221 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,-73.6486316,40.6643886
NY0376,2015,ROOSEVELT PUBLIC LIBRARY,27 WEST FULTON AVENUE,ROOSEVELT,NY,-73.588755,40.675954
NY0377,2015,BRYANT LIBRARY,2 PAPER MILL ROAD,ROSLYN,NY,-73.6486177,40.7969716
NY0378,2015,SEA CLIFF VILLAGE LIBRARY,SEA CLIFF AND CENTRAL AVENUES,SEA CLIFF,NY,-73.64145500000001,40.845396
NY0379,2015,SEAFORD PUBLIC LIBRARY,2234 JACKSON AVENUE,SEAFORD,NY,-73.486868,40.666812
NY0380,2015,SYOSSET PUBLIC LIBRARY,225 SOUTH OYSTER BAY ROAD,SYOSSET,NY,-73.5027067,40.7989175
NY0381,2015,UNIONDALE PUBLIC LIBRARY,400 UNIONDALE AVENUE,UNIONDALE,NY,-73.59259,40.706476
NY0382,2015,HENRY WALDINGER MEMORIAL LIBRARY,60 VERONA PLACE,VALLEY STREAM,NY,-73.7067645,40.663987
NY0383,2015,WANTAGH PUBLIC LIBRARY,3285 PARK AVENUE,WANTAGH,NY,-73.5109822,40.6737605
NY0384,2015,WEST HEMPSTEAD PUBLIC LIBRARY,500 HEMPSTEAD AVENUE,WEST HEMPSTEAD,NY,-73.6542809,40.696187200000004
NY0385,2015,WESTBURY MEMORIAL PUBLIC LIBRARY,445 JEFFERSON STREET,WESTBURY,NY,-73.582436,40.761988
NY0386,2015,WILLISTON PARK PUBLIC LIBRARY,494 WILLIS AVENUE,WILLISTON PARK,NY,-73.64616099999999,40.761311
NY0390,2015,RICHMOND MEMORIAL LIBRARY,19 ROSS STREET,BATAVIA,NY,-78.176572,42.997728
NY0391,2015,BYRON-BERGEN PUBLIC LIBRARY,13 SOUTH LAKE ST,BERGEN,NY,-77.94256,43.08464
NY0392,2015,CORFU FREE LIBRARY,7 MAPLE AVENUE,CORFU,NY,-78.40365899999999,42.959803
NY0393,2015,WOODWARD MEMORIAL LIBRARY,7 WOLCOTT STREET,LEROY,NY,-77.98750679999999,42.9769755
NY0394,2015,HAXTON MEMORIAL LIBRARY,3 NORTH PEARL STREET,OAKFIELD,NY,-78.269908,43.066445
NY0395,2015,PAVILION PUBLIC LIBRARY,5 WOODROW DRIVE,PAVILION,NY,-78.023073,42.875208
NY0396,2015,BARKER PUBLIC LIBRARY,8706 MAIN STREET,BARKER,NY,-78.553632,43.330121000000005
NY0397,2015,LEWISTON PUBLIC LIBRARY,305 SOUTH EIGHTH STREET,LEWISTON,NY,-79.036079,43.169353
NY0398,2015,LOCKPORT PUBLIC LIBRARY,23 EAST AVENUE,LOCKPORT,NY,-78.687461,43.171112
NY0399,2015,ROYALTON HARTLAND COMMUNITY LIBRARY,9 VERNON STREET,MIDDLEPORT,NY,-78.47515200000001,43.211475
NY0400,2015,NEWFANE FREE LIBRARY,2761 MAPLE AVENUE,NEWFANE,NY,-78.705772,43.281259999999996
NY0401,2015,NIAGARA FALLS PUBLIC LIBRARY,1425 MAIN STREET,NIAGARA FALLS,NY,-79.051899,43.101898
NY0402,2015,NORTH TONAWANDA PUBLIC LIBRARY,505 MEADOW DRIVE,NORTH TONAWANDA,NY,-78.8677625,43.0521314
NY0403,2015,RANSOMVILLE FREE LIBRARY,3733 RANSOMVILLE ROAD,RANSOMVILLE,NY,-78.909628,43.232662
NY0404,2015,SANBORN-PEKIN FREE LIBRARY,5884 WEST STREET,SANBORN,NY,-78.891489,43.136266
NY0405,2015,WILSON FREE LIBRARY,265 YOUNG STREET,WILSON,NY,-78.8272976,43.3090958
NY0406,2015,YOUNGSTOWN FREE LIBRARY,240 LOCKPORT STREET,YOUNGSTOWN,NY,-79.04688,43.250329
NY0407,2015,HOAG LIBRARY OF THE SWAN LIBRARY ASSOCIATION,134 SOUTH MAIN STREET,ALBION,NY,-78.193842,43.243429
NY0408,2015,COMMUNITY FREE LIBRARY,86 PUBLIC SQUARE,HOLLEY,NY,-78.02488100000001,43.225427
NY0409,2015,YATES COMMUNITY LIBRARY,15 NORTH MAIN STREET,LYNDONVILLE,NY,-78.38877099999999,43.321539
NY0410,2015,LEE-WHEDON MEMORIAL LIBRARY,620 WEST AVENUE,MEDINA,NY,-78.3887998,43.21789129999999
NY0412,2015,ADAMS FREE LIBRARY,2 NORTH MAIN STREET,ADAMS,NY,-76.024002,43.8093527
NY0413,2015,ADAMS CENTER FREE LIBRARY,18267 STATE ROUTE 177,ADAMS CENTER,NY,-76.006486,43.860874
NY0414,2015,MACSHERRY LIBRARY,112 WALTON STREET,ALEXANDRIA BAY,NY,-75.905788,44.3374848
NY0415,2015,CROSBY PUBLIC LIBRARY,59 MAIN STREET,ANTWERP,NY,-75.6075392,44.199647799999994
NY0416,2015,PHILOMATHEAN FREE LIBRARY,8086 COUNTY ROUTE 75,BELLEVILLE,NY,-76.11953299999999,43.784033
NY0417,2015,SALLY PLOOF HUNTER MEMORIAL LIBRARY,101 PUBLIC WORKS DRIVE,BLACK RIVER,NY,-75.78608559999999,44.015761499999996
NY0418,2015,BROWNVILLE-GLEN PARK LIBRARY ASSOCIATION,216 BROWN BOULEVARD,BROWNVILLE,NY,-75.9840003,44.005294299999996
NY0419,2015,CAPE VINCENT COMMUNITY LIBRARY,157 NORTH REAL STREET,CAPE VINCENT,NY,-76.3392714,44.127481200000005
NY0420,2015,CARTHAGE FREE LIBRARY,412 BUDD STREET,CARTHAGE,NY,-75.60977009999999,43.979582
NY0421,2015,LYME FREE LIBRARY,12165 MAIN STREET,CHAUMONT,NY,-76.128226,44.065843
NY0422,2015,HAWN MEMORIAL LIBRARY,220 JOHN STREET,CLAYTON,NY,-76.0878737,44.242117799999995
NY0423,2015,DEPAUVILLE FREE LIBRARY,32333 COUNTY ROUTE 179,DEPAUVILLE,NY,-76.071799,44.136078000000005
NY0424,2015,DEXTER FREE LIBRARY,120 EAST KIRBY STREET,DEXTER,NY,-76.04403470000001,44.0078229
NY0425,2015,EAST HOUNSFIELD FREE LIBRARY,19438 NYS ROUTE 3,WATERTOWN,NY,-75.91753299999999,43.981184999999996
NY0426,2015,ELLISBURG FREE LIBRARY,12117 NYS ROUTE 193,ELLISBURG,NY,-76.128658,43.736067
NY0427,2015,EVANS MILLS PUBLIC LIBRARY,8706 NOBLE STREET,EVANS MILLS,NY,-75.80748,44.088146
NY0428,2015,HENDERSON FREE LIBRARY,8939 NYS ROUTE 178,HENDERSON,NY,-76.181248,43.845628999999995
NY0429,2015,ORLEANS PUBLIC LIBRARY,36263 NYS ROUTE 180,LAFARGEVILLE,NY,-75.967274,44.192459
NY0430,2015,MANNSVILLE FREE LIBRARY,108 LILAC PARK DRIVE,MANNSVILLE,NY,-76.0639519,43.7123724
NY0431,2015,BODMAN MEMORIAL LIBRARY,8 ALDRICH STREET,PHILADELPHIA,NY,-75.70485140000001,44.1576036
NY0432,2015,RODMAN PUBLIC LIBRARY,12509 SCHOOL STREET,RODMAN,NY,-75.94088,43.849419
NY0433,2015,HAY MEMORIAL LIBRARY,105 SOUTH BROAD STREET,SACKETS HARBOR,NY,-76.1190845,43.946171299999996
NY0434,2015,THERESA FREE LIBRARY,301 MAIN STREET,THERESA,NY,-75.7996268,44.2162338
NY0435,2015,THOUSAND ISLAND PARK LIBRARY,42743 ST. LAWRENCE AVENUE,THOUSAND ISLAND PARK,NY,-76.02663199999999,44.2869351
NY0436,2015,ROSWELL P. FLOWER MEMORIAL LIBRARY,229 WASHINGTON STREET,WATERTOWN,NY,-75.91106500000001,43.973019
NY0437,R_14,BEAVER FALLS LIBRARY,9607 LEWIS STREET,BEAVER FALLS,NY,-75.425332,43.88762
NY0438,2015,CONSTABLEVILLE LIBRARY,3158 MAIN STREET,CONSTABLEVILLE,NY,-75.42864,43.565388
NY0439,2015,CROGHAN FREE LIBRARY,9794 STATE ROUTE 812,CROGHAN,NY,-75.3922172,43.8944174
NY0441,2015,LOWVILLE FREE LIBRARY,5387 DAYAN STREET,LOWVILLE,NY,-75.49388,43.786426
NY0442,2015,LYONS FALLS LIBRARY,3918 HIGH STREET,LYONS FALLS,NY,-75.360691,43.617048
NY0443,2015,WILLIAM H. BUSH MEMORIAL LIBRARY,5605 WHITAKER ROAD,MARTINSBURG,NY,-75.46775040000001,43.7377338
NY0444,2015,OSCEOLA PUBLIC LIBRARY,2117 NORTH OSCEOLA ROAD,CAMDEN,NY,-75.7217855,43.5018242
NY0445,2015,PORT LEYDEN COMMUNITY LIBRARY,3145 CANAL STREET,PORT LEYDEN,NY,-75.3434574,43.5802491
NY0446,2015,B. ELIZABETH STRONG MEMORIAL LIBRARY,6312 EAST MAIN STREET,TURIN,NY,-75.402002,43.63125
NY0447,2015,CENTRAL SQUARE LIBRARY,637 SOUTH MAIN STREET,CENTRAL SQUARE,NY,-76.145388,43.284628000000005
NY0448,2015,FULTON PUBLIC LIBRARY,160 SOUTH FIRST STREET,FULTON,NY,-76.420276,43.319302
NY0449,2015,HANNIBAL FREE LIBRARY,162 OSWEGO STREET,HANNIBAL,NY,-76.578079,43.322129
NY0450,2015,MEXICO PUBLIC LIBRARY,3269 MAIN STREET,MEXICO,NY,-76.229456,43.459537100000006
NY0451,2015,COGSWELL FREE LIBRARY,1999 COUNTY ROUTE 2,ORWELL,NY,-75.996833,43.574933
NY0452,2015,OSWEGO SCHOOL DISTRICT PUBLIC LIBRARY,120 EAST SECOND STREET,OSWEGO,NY,-76.50608199999999,43.456885
NY0453,2015,PARISH PUBLIC LIBRARY,3 CHURCH STREET,PARISH,NY,-76.126098,43.406263
NY0454,2015,PHOENIX PUBLIC LIBRARY,34 ELM STREET,PHOENIX,NY,-76.29235,43.233441
NY0455,2015,PULASKI PUBLIC LIBRARY,4917 NORTH JEFFERSON STREET,PULASKI,NY,-76.125228,43.570263
NY0456,2015,ANNIE PORTER AINSWORTH MEMORIAL LIBRARY,6064 SOUTH MAIN STREET,SANDY CREEK,NY,-76.08641800000001,43.643846
NY0457,2015,CANTON FREE LIBRARY,8 PARK STREET,CANTON,NY,-75.168819,44.595079999999996
NY0458,2015,HEPBURN LIBRARY,84 MAIN STREET,COLTON,NY,-74.939468,44.553045000000004
NY0460,2015,HEPBURN LIBRARY OF EDWARDS,205 MAIN STREET,EDWARDS,NY,-75.249287,44.326923
NY0461,2015,READING ROOM ASSOCIATION OF GOUVERNEUR,60 CHURCH STREET,GOUVERNEUR,NY,-75.467329,44.335263
NY0462,2015,HAMMOND FREE LIBRARY,17 MAIN STREET,HAMMOND,NY,-75.694069,44.449362
NY0463,2015,HEPBURN LIBRARY OF HERMON,105 MAIN STREET,HERMON,NY,-75.230514,44.467112
NY0464,2015,HEUVELTON FREE LIBRARY,57 STATE STREET,HEUVELTON,NY,-75.408171,44.618604
NY0465,2015,HEPBURN LIBRARY OF LISBON,6899 COUNTY ROUTE 10,LISBON,NY,-75.320369,44.724959000000005
NY0466,2015,HEPBURN LIBRARY OF MADRID,11 CHURCH STREET,MADRID,NY,-75.133815,44.748807
NY0467,2015,MASSENA PUBLIC LIBRARY,41 GLENN STREET,MASSENA,NY,-74.891385,44.931134
NY0468,2015,MORRISTOWN PUBLIC LIBRARY,200 MAIN STREET,MORRISTOWN,NY,-75.65065,44.588896000000005
NY0469,2015,HEPBURN LIBRARY OF NORFOLK,1 HEPBURN STREET,NORFOLK,NY,-74.991332,44.800675
NY0470,2015,NORWOOD PUBLIC LIBRARY,1 MORTON STREET,NORWOOD,NY,-74.9945781,44.752843799999994
NY0471,2015,OGDENSBURG PUBLIC LIBRARY,312 WASHINGTON STREET,OGDENSBURG,NY,-75.493066,44.698906
NY0472,2015,POTSDAM PUBLIC LIBRARY,2 PARK STREET,POTSDAM,NY,-74.982388,44.669389
NY0473,2015,RICHVILLE FREE LIBRARY,87 MAIN STREET,RICHVILLE,NY,-75.395648,44.413446
NY0474,2015,RUSSELL PUBLIC LIBRARY,24 PESTLE STREET,RUSSELL,NY,-75.151943,44.429043
NY0475,2015,HEPBURN LIBRARY OF WADDINGTON,30 MAIN STREET,WADDINGTON,NY,-75.203499,44.864047
NY0476,2015,ONONDAGA COUNTY PUBLIC LIBRARY,"THE GALLERIES, 447 S. SALINA ST.",SYRACUSE,NY,-76.152227,43.046046999999994
NY0477,2015,BALDWINSVILLE PUBLIC LIBRARY,33 EAST GENESEE STREET,BALDWINSVILLE,NY,-76.329176,43.158937
NY0479,2015,MAXWELL MEMORIAL LIBRARY,14 GENESEE STREET,CAMILLUS,NY,-76.30623299999999,43.039053
NY0481,2015,DEWITT COMMUNITY LIBRARY ASSOCIATION,SHOPPINGTOWN 3649 ERIE BLVD EAST,DEWITT,NY,-76.066124,43.03934
NY0482,2015,EAST SYRACUSE FREE LIBRARY,4990 JAMES STREET,EAST SYRACUSE,NY,-76.073135,43.070403000000006
NY0483,2015,ELBRIDGE FREE LIBRARY,241 EAST MAIN STREET,ELBRIDGE,NY,-76.437976,43.036196999999994
NY0484,2015,FAIRMOUNT COMMUNITY LIBRARY ASSOC.,406 CHAPEL DRIVE,SYRACUSE,NY,-76.246799,43.043955
NY0485,2015,FAYETTEVILLE FREE LIBRARY,300 ORCHARD STREET,FAYETTEVILLE,NY,-76.00719699999999,43.0263
NY0486,2015,JORDAN BRAMLEY LIBRARY,15 MECHANIC STREET,JORDAN,NY,-76.4706824,43.065526299999995
NY0487,2015,LAFAYETTE PUBLIC LIBRARY,2577 ROUTE 11 NORTH,LAFAYETTE,NY,-76.106892,42.897222
NY0488,2015,LIVERPOOL PUBLIC LIBRARY,310 TULIP STREET,LIVERPOOL,NY,-76.208287,43.102925
NY0489,2015,MANLIUS LIBRARY,1 ARKIE ALBANESE AVENUE,MANLIUS,NY,-75.984433,43.003221999999994
NY0490,2015,MARCELLUS FREE LIBRARY,32 MAPLE STREET,MARCELLUS,NY,-76.33684699999999,42.985765
NY0491,2015,SALINA FREE LIBRARY,100 BELMONT ST.,MATTYDALE,NY,-76.149827,43.100095
NY0492,2015,MINOA LIBRARY,242 N. MAIN STREET,MINOA,NY,-76.0008234,43.077437700000004
NY0494,2015,ONONDAGA FREE LIBRARY,4840 WEST SENECA TURNPIKE,SYRACUSE,NY,-76.18137,43.00527
NY0495,2015,SOLVAY PUBLIC LIBRARY,615 WOODS ROAD,SOLVAY,NY,-76.207086,43.058082
NY0496,2015,TULLY FREE LIBRARY,12 STATE STREET,TULLY,NY,-76.1098913,42.796870500000004
NY0498,2015,AVON FREE LIBRARY,143 GENESEE STREET,AVON,NY,-77.746988,42.909643
NY0499,2015,CALEDONIA LIBRARY ASSOCIATION,3108 MAIN STREET,CALEDONIA,NY,-77.854159,42.973132
NY0500,2015,DANSVILLE PUBLIC LIBRARY,200 MAIN STREET,DANSVILLE,NY,-77.696991,42.562024
NY0501,2015,WADSWORTH LIBRARY,24 CENTER STREET,GENESEO,NY,-77.8142212,42.7959203
NY0502,2015,LIMA PUBLIC LIBRARY,1872 GENESEE STREET,LIMA,NY,-77.61377,42.905713
NY0503,2015,LIVONIA PUBLIC LIBRARY,2 WASHINGTON STREET,LIVONIA,NY,-77.667938,42.821977000000004
NY0504,2015,MOUNT MORRIS LIBRARY,121 MAIN STREET,MOUNT MORRIS,NY,-77.88033270000001,42.7361645
NY0505,2015,BELL MEMORIAL LIBRARY,16 EAST STREET,NUNDA,NY,-77.941034,42.580281
NY0507,2015,BRIGHTON MEMORIAL LIBRARY,2300 ELMWOOD AVENUE,ROCHESTER,NY,-77.575523,43.126107
NY0508,2015,SEYMOUR LIBRARY,161 EAST AVE,BROCKPORT,NY,-77.929406,43.220048
NY0509,2015,CHILI PUBLIC LIBRARY,3333 CHILI AVENUE,ROCHESTER,NY,-77.760463,43.100097
NY0510,2015,NEWMAN RIGA LIBRARY,1 VILLAGE PARK,CHURCHVILLE,NY,-77.846784,43.081007
NY0512,2015,FAIRPORT PUBLIC LIBRARY,1 VILLAGE LANDING,FAIRPORT,NY,-77.4419628,43.1000679
NY0513,2015,GATES PUBLIC LIBRARY,902 ELMGROVE ROAD,ROCHESTER,NY,-77.7323527,43.154192200000004
NY0514,2015,GREECE PUBLIC LIBRARY,2 VINCE TOFANY BOULEVARD,GREECE,NY,-77.696598,43.25772070000001
NY0515,2015,HENRIETTA PUBLIC LIBRARY,455 CALKINS ROAD,ROCHESTER,NY,-77.6255037,43.06839
NY0516,2015,PARMA PUBLIC LIBRARY,7 WEST AVENUE,HILTON,NY,-77.792941,43.288090000000004
NY0517,2015,TOWN OF MENDON PUBLIC LIBRARY,22 NORTH MAIN STREET,HONEOYE FALLS,NY,-77.59028,42.953623
NY0518,2015,IRONDEQUOIT PUBLIC LIBRARY,45 COOPER ROAD,ROCHESTER,NY,-77.5983217,43.2115643
NY0519,2015,PENFIELD PUBLIC LIBRARY,1985 BAIRD ROAD,PENFIELD,NY,-77.463799,43.137463000000004
NY0520,2015,PITTSFORD COMMUNITY LIBRARY,24 STATE STREET,PITTSFORD,NY,-77.513604,43.090272999999996
NY0521,2015,ROCHESTER PUBLIC LIBRARY,115 SOUTH AVENUE,ROCHESTER,NY,-77.607803,43.154206
NY0522,2015,RUSH PUBLIC LIBRARY,5977 EAST HENRIETTA ROAD,RUSH,NY,-77.64565,42.995389
NY0523,2015,SCOTTSVILLE FREE LIBRARY,28 MAIN STREET,SCOTTSVILLE,NY,-77.749957,43.019653999999996
NY0524,2015,OGDEN FARMERS' LIBRARY,269 OGDEN CENTER ROAD,SPENCERPORT,NY,-77.80246899999999,43.172426
NY0525,2015,WEBSTER PUBLIC LIBRARY,"WEBSTER PLAZA, 980 RIDGE ROAD",WEBSTER,NY,-77.459964,43.208853000000005
NY0527,2015,ALLENS HILL FREE LIBRARY,3818 COUNTY ROAD 40,BLOOMFIELD,NY,-77.51509200000001,42.842452
NY0528,2015,BRISTOL LIBRARY,6750 COUNTY ROAD 32,CANANDAIGUA,NY,-77.395136,42.809290999999995
NY0529,2015,WOOD LIBRARY ASSOCIATION,134 NORTH MAIN STREET,CANANDAIGUA,NY,-77.284424,42.892016999999996
NY0530,2015,CLIFTON SPRINGS LIBRARY,4 RAILROAD AVENUE,CLIFTON SPRINGS,NY,-77.137061,42.963262
NY0531,2015,BLOOMFIELD PUBLIC LIBRARY,9 CHURCH STREET,BLOOMFIELD,NY,-77.431549,42.899722
NY0532,2015,GENEVA PUBLIC LIBRARY,244 MAIN STREET,GENEVA,NY,-76.985873,42.868577
NY0533,2015,GORHAM FREE LIBRARY,2664 MAIN STREET,GORHAM,NY,-77.1316676,42.799094000000004
NY0534,2015,HONEOYE PUBLIC LIBRARY,8708 MAIN ST.,HONEOYE,NY,-77.514703,42.789776
NY0535,2015,NAPLES LIBRARY,118 SOUTH MAIN STREET,NAPLES,NY,-77.40276120000001,42.6148935
NY0536,2015,PHELPS COMMUNITY MEMORIAL LIBRARY,8 BANTA ST. SUITE 200,PHELPS,NY,-77.061548,42.960898
NY0537,2015,VICTOR FARMINGTON LIBRARY,15 WEST MAIN STREET,VICTOR,NY,-77.410421,42.982915999999996
NY0539,2015,CLYDE-SAVANNAH PUBLIC LIBRARY,204 GLASGOW STREET,CLYDE,NY,-76.867503,43.087621999999996
NY0540,2015,LYONS PUBLIC LIBRARY,122 BROAD STREET,LYONS,NY,-76.991262,43.068923
NY0541,2015,MACEDON PUBLIC LIBRARY,30 MAIN STREET,MACEDON,NY,-77.306905,43.066514
NY0542,2015,MARION PUBLIC LIBRARY,4036 MAPLE AVENUE,MARION,NY,-77.188271,43.142693
NY0543,2015,NEWARK PUBLIC LIBRARY,121 HIGH STREET,NEWARK,NY,-77.0958353,43.044412
NY0544,2015,ONTARIO PUBLIC LIBRARY,1850 RIDGE ROAD,ONTARIO,NY,-77.2915343,43.223568900000004
NY0545,2015,PALMYRA COMMUNITY LIBRARY,402 EAST MAIN STREET,PALMYRA,NY,-77.22864799999999,43.063590999999995
NY0546,2015,RED CREEK FREE LIBRARY,6817 MAIN STREET,RED CREEK,NY,-76.722399,43.247341999999996
NY0547,2015,ROSE FREE LIBRARY,4069 MAIN STREET,ROSE,NY,-76.8781798,43.1528089
NY0548,2015,SODUS COMMUNITY LIBRARY,17 MAPLE AVENUE,SODUS,NY,-77.061566,43.237352
NY0549,2015,WALWORTH-SEELY PUBLIC LIBRARY,3600 LORRAINE DRIVE,WALWORTH,NY,-77.289091,43.13377
NY0550,2015,WILLIAMSON FREE PUBLIC LIBRARY,"6380 ROUTE 21, SUITE 1",WILLIAMSON,NY,-77.1871255,43.231097
NY0551,2015,WOLCOTT CIVIC FREE LIBRARY,5890 NEW HARTFORD STREET,WOLCOTT,NY,-76.814658,43.215244
