max_temperature_f,mean_temperature_f,min_temperature_f,max_humidity,mean_humidity,min_humidity,precipitation_inches,date
62.0,53.0,44.2,87.4,69.2,48.0,0.0,2013-11-26
63.2,53.8,44.4,87.4,70.8,50.6,0.0,2013-11-27
67.0,56.6,46.6,86.0,66.6,41.4,0.0,2013-11-28
66.4,54.6,43.4,83.6,66.8,45.2,0.0,2013-11-29
63.8,53.0,42.8,87.2,72.2,53.6,0.0,2013-11-30
66.8,54.6,42.8,87.6,69.6,43.8,0.0,2013-12-01
63.0,52.8,42.8,91.8,78.2,61.2,0.0,2013-12-02
56.0,50.0,42.8,90.4,66.6,44.2,0.0,2013-12-03
51.2,43.2,35.6,69.4,51.0,30.6,0.0,2013-12-04
51.0,40.6,30.6,75.4,50.8,25.2,0.0,2013-12-05
54.2,43.6,33.4,83.4,65.4,44.4,0.122,2013-12-06
50.4,43.8,35.6,87.0,63.8,38.6,0.06399999999999999,2013-12-07
46.0,39.2,32.4,80.6,60.2,37.8,0.0,2013-12-08
50.8,40.2,30.2,68.8,49.2,27.0,0.0,2013-12-09
52.2,41.0,30.2,77.0,60.2,38.4,0.0,2013-12-10
56.0,44.4,33.0,79.8,59.4,35.0,0.0,2013-12-11
56.8,44.4,32.8,82.6,63.8,40.6,0.0,2013-12-12
57.0,46.2,35.6,85.4,70.8,51.6,0.0,2013-12-13
60.6,47.8,35.6,85.2,64.8,38.0,0.0,2013-12-14
60.2,47.4,35.0,83.8,65.4,41.4,0.0,2013-12-15
64.8,51.4,38.8,81.4,60.0,34.6,0.0,2013-12-16
61.0,51.4,42.0,77.8,61.8,42.2,0.0,2013-12-17
58.2,50.6,43.2,84.2,72.8,57.8,0.0,2013-12-18
58.2,50.6,43.6,85.4,61.4,34.4,0.0,2013-12-19
59.2,48.0,36.8,65.4,43.6,18.6,0.0,2013-12-20
60.4,49.6,39.2,85.6,70.2,52.6,0.0,2013-12-21
65.8,52.2,38.8,94.0,66.4,33.8,0.0,2013-12-22
61.4,50.4,40.4,83.2,66.2,44.8,0.0,2013-12-23
66.8,53.2,40.4,83.0,63.8,40.2,0.0,2013-12-24
64.4,51.4,38.4,82.6,63.4,40.0,0.0,2013-12-25
65.8,52.0,38.4,84.0,64.0,38.2,0.0,2013-12-26
58.4,48.2,38.6,83.2,69.2,51.6,0.0,2013-12-27
64.8,50.4,36.6,89.0,63.0,29.6,0.0,2013-12-28
66.6,52.6,39.4,69.2,46.0,18.2,0.0,2013-12-29
61.6,49.2,37.4,75.8,58.0,35.2,0.0,2013-12-30
58.4,48.2,38.8,94.8,76.0,52.2,0.0,2013-12-31
58.2,47.8,37.0,86.0,69.0,48.0,0.0,2014-01-01
63.4,51.2,39.6,81.8,61.6,36.8,0.0,2014-01-02
61.4,51.0,41.4,76.8,60.8,40.8,0.0,2014-01-03
65.0,52.4,40.2,90.2,64.0,34.2,0.0,2014-01-04
64.8,50.8,37.6,69.8,48.6,27.6,0.0,2014-01-05
60.0,50.0,40.2,75.0,60.8,45.0,0.0,2014-01-06
61.2,52.6,44.4,82.0,66.8,47.8,0.0,2014-01-07
58.2,53.4,48.2,92.4,81.8,70.8,0.004,2014-01-08
59.8,53.0,46.8,91.6,76.6,57.0,0.004,2014-01-09
61.6,52.0,42.8,88.8,74.2,56.8,0.0,2014-01-10
58.4,50.8,44.0,91.6,80.8,68.4,0.0,2014-01-11
59.6,50.8,42.6,94.0,71.8,46.0,0.0,2014-01-12
67.2,54.6,42.4,72.6,52.0,29.6,0.0,2014-01-13
72.4,56.6,41.4,72.8,46.2,17.4,0.0,2014-01-14
71.0,56.4,42.8,65.8,45.6,23.4,0.0,2014-01-15
71.6,56.2,41.2,67.2,47.0,23.4,0.0,2014-01-16
66.8,53.4,40.8,68.2,52.6,35.0,0.0,2014-01-17
67.8,53.0,39.2,75.4,54.6,32.4,0.0,2014-01-18
67.4,52.2,38.2,71.6,52.8,29.0,0.0,2014-01-19
67.8,53.2,39.4,75.0,55.0,31.2,0.0,2014-01-20
67.6,53.2,39.4,72.6,52.8,28.0,0.0,2014-01-21
69.2,53.8,39.8,80.2,57.0,30.0,0.0,2014-01-22
67.2,54.2,41.0,80.6,54.4,25.4,0.0,2014-01-23
63.8,52.4,41.6,78.8,60.8,41.6,0.0,2014-01-24
69.2,56.8,45.2,78.4,54.4,30.0,0.0,2014-01-25
69.0,57.0,46.2,85.6,60.6,31.8,0.0,2014-01-26
60.8,53.8,47.2,91.8,76.8,60.0,0.0,2014-01-27
66.0,57.8,49.4,89.8,78.6,64.2,0.0,2014-01-28
66.2,60.6,55.2,95.8,85.0,71.2,0.004,2014-01-29
60.6,56.0,51.8,88.4,73.0,54.0,0.036000000000000004,2014-01-30
60.2,52.4,44.8,84.6,62.2,33.0,0.002,2014-01-31
59.2,48.8,38.4,81.6,60.2,34.4,0.0,2014-02-01
54.2,49.0,43.4,90.2,75.8,60.8,0.22000000000000006,2014-02-02
55.8,48.8,41.8,87.4,70.8,50.2,0.0,2014-02-03
55.0,47.0,39.0,85.0,70.0,51.2,0.0,2014-02-04
56.4,47.4,38.2,85.8,70.4,51.6,0.022000000000000002,2014-02-05
54.2,50.6,46.6,95.4,85.6,74.8,0.45799999999999996,2014-02-06
55.8,53.0,49.4,94.0,86.0,77.2,0.096,2014-02-07
62.0,57.6,53.4,91.4,82.4,73.6,0.10399999999999998,2014-02-08
63.2,59.6,57.2,90.2,82.4,72.6,0.09,2014-02-09
60.0,55.6,51.0,95.6,85.8,74.4,0.006,2014-02-10
59.4,54.0,48.2,97.2,84.4,68.2,0.0,2014-02-11
60.0,53.6,47.4,93.6,82.6,66.0,0.0,2014-02-12
68.8,59.0,49.2,97.2,84.0,65.0,0.0,2014-02-13
63.8,58.4,52.4,97.6,81.6,62.2,0.0,2014-02-14
62.2,55.8,49.0,93.0,81.4,69.0,0.006,2014-02-15
